5.100000000000000000e+01,1.600000000000000000e+01,1.400000000000000000e+01
5.600000000000000000e+01,1.100000000000000000e+01,1.080000000000000000e+02
2.390000000000000000e+02,1.490000000000000000e+02,2.490000000000000000e+02
2.080000000000000000e+02,8.900000000000000000e+01,2.240000000000000000e+02
3.900000000000000000e+01,8.000000000000000000e+00,8.500000000000000000e+01
1.980000000000000000e+02,6.200000000000000000e+01,1.970000000000000000e+02
2.240000000000000000e+02,5.900000000000000000e+01,1.730000000000000000e+02
9.100000000000000000e+01,2.100000000000000000e+01,1.410000000000000000e+02
1.470000000000000000e+02,3.200000000000000000e+01,1.610000000000000000e+02
1.830000000000000000e+02,4.100000000000000000e+01,1.720000000000000000e+02
1.280000000000000000e+02,3.900000000000000000e+01,2.700000000000000000e+01
1.150000000000000000e+02,2.400000000000000000e+01,1.450000000000000000e+02
1.220000000000000000e+02,3.300000000000000000e+01,1.680000000000000000e+02
2.000000000000000000e+01,5.000000000000000000e+00,5.700000000000000000e+01
7.500000000000000000e+01,1.600000000000000000e+01,1.240000000000000000e+02
1.580000000000000000e+02,4.900000000000000000e+01,1.910000000000000000e+02
